zac,zac_nazov,kon,kon_nazov,sekundy,km
102,"Lipt.Matiašovce,,pož.zbroj.",101,"Lipt.Matiašovce,Vyšné Matiašovce",88,1
102,"Lipt.Matiašovce,,pož.zbroj.",103,"Lipt.Matiašovce,,rázc.",104,1
102,"Lipt.Matiašovce,,pož.zbroj.",430,"Lipt.Matiašovce,,kaplnka",54,0.2
103,"Lipt.Matiašovce,,rázc.",78,"Kvačany,Dlhá Lúka",100,2
103,"Lipt.Matiašovce,,rázc.",88,"Lipt.Sielnica,,PS",196,2
103,"Lipt.Matiašovce,,rázc.",89,"Lipt.Sielnica,,rázc.",270,3
103,"Lipt.Matiašovce,,rázc.",102,"Lipt.Matiašovce,,pož.zbroj.",104,1
104,"Podture�?,Rove�?",123,"Lipt.Hrádok,,žel.st.",166,1
104,"Podture�?,Rove�?",187,"Podture�?,,žel.zast.",130,2
105,"Lipt.Hrádok,Dovalovo,Petráško",84,"Lipt.Kokava,,Oravec",339,6
105,"Lipt.Hrádok,Dovalovo,Petráško",107,"Lipt.Hrádok,Dovalovo,pomník",108,0.2
106,"Lipt.Hrádok,Dovalovo,č.d.433",107,"Lipt.Hrádok,Dovalovo,pomník",64,0.2
106,"Lipt.Hrádok,Dovalovo,č.d.433",114,"Lipt.Hrádok,,Pod skalou",108,2
106,"Lipt.Hrádok,Dovalovo,č.d.433",118,"Lipt.Hrádok,,Repček",90,2
107,"Lipt.Hrádok,Dovalovo,pomník",87,"Lipt.Kokava,,pož.zbroj.",648,7
107,"Lipt.Hrádok,Dovalovo,pomník",105,"Lipt.Hrádok,Dovalovo,Petráško",54,0.2
107,"Lipt.Hrádok,Dovalovo,pomník",106,"Lipt.Hrádok,Dovalovo,č.d.433",71,0.2
107,"Lipt.Hrádok,Dovalovo,pomník",114,"Lipt.Hrádok,,Pod skalou",162,2
107,"Lipt.Hrádok,Dovalovo,pomník",120,"Lipt.Hrádok,,ZŠ",270,3
108,"Lipt.Hrádok,,Jánoškov domov",77,"Kráľova Lehota,,žel.st.",324,3
108,"Lipt.Hrádok,,Jánoškov domov",113,"Lipt.Hrádok,,Maša",75,1
108,"Lipt.Hrádok,,Jánoškov domov",121,"Lipt.Hrádok,,Tesla",324,3
108,"Lipt.Hrádok,,Jánoškov domov",122,"Lipt.Hrádok,,cint.",106,2
109,"Lipt.Peter,,RD",110,"Lipt.Peter,,Bytovky",140,1
109,"Lipt.Peter,,RD",168,"Jamník,,Mokraď",81,1
109,"Lipt.Peter,,RD",213,"Vavrišovo,,OcÚ",324,4
110,"Lipt.Peter,,Bytovky",109,"Lipt.Peter,,RD",61,1
110,"Lipt.Peter,,Bytovky",114,"Lipt.Hrádok,,Pod skalou",91,1
110,"Lipt.Peter,,Bytovky",119,"Lipt.Hrádok,,Sokolov�?a",108,2
110,"Lipt.Peter,,Bytovky",168,"Jamník,,Mokraď",135,2
110,"Lipt.Peter,,Bytovky",213,"Vavrišovo,,OcÚ",230,3
110,"Lipt.Peter,,Bytovky",402,"Jamník,,Jednota",162,3
111,"Lipt.Peter,,pomník",110,"Lipt.Peter,,Bytovky",94,0.2
111,"Lipt.Peter,,pomník",213,"Vavrišovo,,OcÚ",270,3
113,"Lipt.Hrádok,,Maša",66,"Hybe,,rázc.",97,1
113,"Lipt.Hrádok,,Maša",76,"Kráľova Lehota,,Preglejka",108,2
113,"Lipt.Hrádok,,Maša",77,"Kráľova Lehota,,žel.st.",228,2
113,"Lipt.Hrádok,,Maša",108,"Lipt.Hrádok,,Jánoškov domov",94,1
113,"Lipt.Hrádok,,Maša",384,"Kráľova Lehota,,Preglejka št.cesta",108,2
114,"Lipt.Hrádok,,Pod skalou",110,"Lipt.Peter,,Bytovky",108,1
114,"Lipt.Hrádok,,Pod skalou",111,"Lipt.Peter,,pomník",135,1
114,"Lipt.Hrádok,,Pod skalou",118,"Lipt.Hrádok,,Repček",64,0.2
114,"Lipt.Hrádok,,Pod skalou",119,"Lipt.Hrádok,,Sokolov�?a",90,1
114,"Lipt.Hrádok,,Pod skalou",120,"Lipt.Hrádok,,ZŠ",108,1
114,"Lipt.Hrádok,,Pod skalou",122,"Lipt.Hrádok,,cint.",106,1
114,"Lipt.Hrádok,,Pod skalou",123,"Lipt.Hrádok,,žel.st.",250,2
115,"Lipt.Porúbka,,Chomová",116,"Lipt.Porúbka,,Kubek",90,1
116,"Lipt.Porúbka,,Kubek",115,"Lipt.Porúbka,,Chomová",63,1
116,"Lipt.Porúbka,,Kubek",117,"Lipt.Porúbka,,pri moste",117,0.2
117,"Lipt.Porúbka,,pri moste",116,"Lipt.Porúbka,,Kubek",63,0.2
117,"Lipt.Porúbka,,pri moste",120,"Lipt.Hrádok,,ZŠ",162,2
117,"Lipt.Porúbka,,pri moste",123,"Lipt.Hrádok,,žel.st.",238,2
118,"Lipt.Hrádok,,Repček",106,"Lipt.Hrádok,Dovalovo,č.d.433",89,2
118,"Lipt.Hrádok,,Repček",114,"Lipt.Hrádok,,Pod skalou",61,0.2
119,"Lipt.Hrádok,,Sokolov�?a",114,"Lipt.Hrádok,,Pod skalou",76,1
119,"Lipt.Hrádok,,Sokolov�?a",120,"Lipt.Hrádok,,ZŠ",81,0.2
119,"Lipt.Hrádok,,Sokolov�?a",122,"Lipt.Hrádok,,cint.",108,1
119,"Lipt.Hrádok,,Sokolov�?a",123,"Lipt.Hrádok,,žel.st.",162,1
120,"Lipt.Hrádok,,ZŠ",117,"Lipt.Porúbka,,pri moste",162,2
120,"Lipt.Hrádok,,ZŠ",119,"Lipt.Hrádok,,Sokolov�?a",105,0.2
120,"Lipt.Hrádok,,ZŠ",121,"Lipt.Hrádok,,Tesla",108,1
120,"Lipt.Hrádok,,ZŠ",123,"Lipt.Hrádok,,žel.st.",243,1
121,"Lipt.Hrádok,,Tesla",122,"Lipt.Hrádok,,cint.",126,1
121,"Lipt.Hrádok,,Tesla",123,"Lipt.Hrádok,,žel.st.",224,2
121,"Lipt.Hrádok,,Tesla",431,"Lipt.Hrádok,,Alcatel",292,0.4
122,"Lipt.Hrádok,,cint.",61,"Hybe,,Lehotský Adam",324,7
122,"Lipt.Hrádok,,cint.",108,"Lipt.Hrádok,,Jánoškov domov",103,2
